
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,1.14374e-07,10.4278,1.34907,2.28809,0.307565,0.0742188,1.58203,36.4249,27,µm^2,Surface,,,,,,1,
BoundingBoxAA Length X,0.105431,1.52874,0.429532,0.349586,0.316291,0.210449,0.553223,11.5974,27,µm,Surface,,,BoundingBoxAA Length,,,1,
BoundingBoxAA Length Y,0.105431,2.10861,0.429532,0.404202,0.316292,0.209961,0.552734,11.5974,27,µm,Surface,,,BoundingBoxAA Length,,,1,
BoundingBoxAA Length Z,1,3.5,1.55556,0.737028,1,1.00098,2.00098,42,27,µm,Surface,,,BoundingBoxAA Length,,,1,
BoundingBoxOO Length A,0.000105381,1.09187,0.275101,0.245309,0.218212,0.126465,0.384766,7.42772,27,µm,Surface,,,BoundingBoxOO Length,,,1,
BoundingBoxOO Length B,0.000252724,2.17121,0.399447,0.439836,0.267406,0.171875,0.563477,10.7851,27,µm,Surface,,,BoundingBoxOO Length,,,1,
BoundingBoxOO Length C,8.58307e-05,3.19606,0.879054,0.858434,0.502689,0.177734,1.50879,23.7344,27,µm,Surface,,,BoundingBoxOO Length,,,1,
Center of Homogeneous Mass X,8.72437,14.9711,12.0917,1.57345,11.8845,11.1602,13.0332,326.476,27,µm,Surface,,,Center of Homogeneous Mass,,,1,
Center of Homogeneous Mass Y,17.8761,25.2025,22.3306,2.36965,22.7993,20.8281,24.7461,602.926,27,µm,Surface,,,Center of Homogeneous Mass,,,1,
Center of Homogeneous Mass Z,3.25,9.86682,6.18733,2.07512,6.58333,3.81055,7.50391,167.058,27,µm,Surface,,,Center of Homogeneous Mass,,,1,
Center of Image Mass X,8.72506,14.9722,12.0906,1.57428,11.8879,11.1543,13.041,326.447,27,µm,Surface,1,,Center of Image Mass,Image 1,,1,
Center of Image Mass X,8.73742,14.9683,12.0977,1.57097,11.9015,11.125,13.0273,326.638,27,µm,Surface,2,,Center of Image Mass,Image 1,,1,
Center of Image Mass X,8.73742,14.9683,12.0977,1.57097,11.9015,11.125,13.0273,326.638,27,µm,Surface,3,,Center of Image Mass,Image 1,,1,
Center of Image Mass X,8.72506,14.9722,12.0906,1.57428,11.8879,11.1543,13.041,326.447,27,µm,Surface,4,,Center of Image Mass,Image 1,,1,
Center of Image Mass Y,17.8923,25.1957,22.3281,2.36856,22.7973,20.8262,24.7422,602.858,27,µm,Surface,1,,Center of Image Mass,Image 1,,1,
Center of Image Mass Y,17.8901,25.1901,22.3274,2.35955,22.7982,20.832,24.7402,602.839,27,µm,Surface,2,,Center of Image Mass,Image 1,,1,
Center of Image Mass Y,17.8901,25.1901,22.3274,2.35955,22.7982,20.832,24.7402,602.839,27,µm,Surface,3,,Center of Image Mass,Image 1,,1,
Center of Image Mass Y,17.8923,25.1957,22.3281,2.36856,22.7973,20.8262,24.7422,602.858,27,µm,Surface,4,,Center of Image Mass,Image 1,,1,
Center of Image Mass Z,3.25,9.90358,6.18231,2.07843,6.57252,3.76953,7.50195,166.922,27,µm,Surface,1,,Center of Image Mass,Image 1,,1,
Center of Image Mass Z,3.25,9.68204,6.15752,2.04141,6.58797,3.88477,7.50195,166.253,27,µm,Surface,2,,Center of Image Mass,Image 1,,1,
Center of Image Mass Z,3.25,9.68204,6.15752,2.04141,6.58797,3.88477,7.50195,166.253,27,µm,Surface,3,,Center of Image Mass,Image 1,,1,
Center of Image Mass Z,3.25,9.90358,6.18231,2.07843,6.57252,3.76953,7.50195,166.922,27,µm,Surface,4,,Center of Image Mass,Image 1,,1,
Distance from Origin,22.3116,29.6944,26.2666,2.36836,27.0634,24.3594,28.1016,709.199,27,µm,Surface,,,Distance from Origin,,,1,
Distance to Image Border XY,1.65588,8.83933,4.44485,2.33194,4.13815,2.10547,6.05664,120.011,27,µm,Surface,,,,Image 1,,1,
Distance to Image Border XYZ,0.633178,4.75,2.48092,0.927635,2.66901,1.9707,2.75195,66.9847,27,µm,Surface,,,,Image 1,,1,
Ellipsoid Axis A X,-1,1,0.17649,0.697685,0.390041,-0.438477,0.760742,4.76524,27,µm,Surface,,,Ellipsoid Axis A,,,1,
Ellipsoid Axis A Y,-0.995953,1,-0.073724,0.681615,-0.185728,-0.708008,0.686523,-1.99055,27,µm,Surface,,,Ellipsoid Axis A,,,1,
Ellipsoid Axis A Z,-0.461643,0.103624,-0.0205954,0.107837,0,-0.00610352,0.000244141,-0.556077,27,µm,Surface,,,Ellipsoid Axis A,,,1,
Ellipsoid Axis B X,-0.949532,1,0.38337,0.563774,0.597807,0.0268555,0.836426,10.351,27,µm,Surface,,,Ellipsoid Axis B,,,1,
Ellipsoid Axis B Y,-1,1,-0.0830133,0.716199,-0.148996,-0.708008,0.662109,-2.24136,27,µm,Surface,,,Ellipsoid Axis B,,,1,
Ellipsoid Axis B Z,-0.388369,0.140892,-0.0458433,0.115113,-5.49397e-13,-0.0788574,0.000244141,-1.23777,27,µm,Surface,,,Ellipsoid Axis B,,,1,
Ellipsoid Axis C X,-0.521743,0.209663,-0.0315717,0.127577,0,-0.0280762,0.000244141,-0.852436,27,µm,Surface,,,Ellipsoid Axis C,,,1,
Ellipsoid Axis C Y,-0.302866,0.0424095,-0.0565913,0.0832484,-5.87261e-14,-0.11499,0.00012207,-1.52796,27,µm,Surface,,,Ellipsoid Axis C,,,1,
Ellipsoid Axis C Z,-0.797531,1,0.926356,0.338318,1,0.989746,1,25.0116,27,µm,Surface,,,Ellipsoid Axis C,,,1,
Ellipsoid Axis Length A,0.0294687,0.422593,0.142978,0.0986433,0.121427,0.0799561,0.202881,3.86041,27,µm,Surface,,,,,,1,
Ellipsoid Axis Length B,0.0294687,1.20202,0.219072,0.227478,0.163265,0.0957031,0.277832,5.91494,27,µm,Surface,,,,,,1,
Ellipsoid Axis Length C,0.279509,1.93702,0.580489,0.405753,0.279509,0.279785,0.807617,15.6732,27,µm,Surface,,,,,,1,
Ellipticity (oblate),0.0215034,0.787854,0.204743,0.156695,0.16686,0.106689,0.246338,5.52807,27,,Surface,,,,,,1,
Ellipticity (prolate),0.121989,0.988884,0.625121,0.22571,0.654285,0.452637,0.789307,16.8783,27,,Surface,,,,,,1,
Generation,0,0,0,0,0,0,0,0,27,,Surface,,,,,,1,
Intensity Center,145,14716,5613.89,4131.09,4632,2064,8772,151575,27,,Surface,1,,,Image 1,,1,
Intensity Center,24,39431,4808.52,7837.81,2154,80,6640,129830,27,,Surface,2,,,Image 1,,1,
Intensity Center,24,39431,4808.52,7837.81,2154,80,6640,129830,27,,Surface,3,,,Image 1,,1,
Intensity Center,145,14716,5613.89,4131.09,4632,2064,8772,151575,27,,Surface,4,,,Image 1,,1,
Intensity Max,7473,41450,18158.1,9728.55,15434,11056,20304,490269,27,,Surface,1,,,Image 1,,1,
Intensity Max,3911,65535,19227.1,15592.7,13269,8288,25872,519132,27,,Surface,2,,,Image 1,,1,
Intensity Max,3911,65535,19227.1,15592.7,13269,8288,25872,519132,27,,Surface,3,,,Image 1,,1,
Intensity Max,7473,41450,18158.1,9728.55,15434,11056,20304,490269,27,,Surface,4,,,Image 1,,1,
